	ar_context	ar_label	name	hdi_context	hdi_label	purported_uses	ar_flag	hdi_flag
544	"Oral: None reported.
Eyedrops: One report each of feeling a foreign substance and another of irritating pain in the eyes. Symptoms resolved after the patients closed their eyes and rested for 3 minutes (7)."	Substance,Pain	Isatis Root	 	 	Bronchitis,Cancer treatment,Chest congestion,Common cold,Fever,Infections,Radiation-induced mucositis,Severe acute respiratory syndrome (SARS)	True	False
548	"Gastrointestinal distress (5) and hive-like rash (11) were reported in clinical studies.
Case Report
Hepatotoxicity linked to JP use:  A 51-year-old woman with endometrial cancer experienced elevated liver function tests and interference with allopathic therapies. The patient discontinued using the product and liver function tests normalized over 4 weeks (14)."	Rash,Hepatotoxicity,Endometrial cancer,Cancer,Liver function tests	Juice Plus	Chemotherapy drugs: Theoretically, antioxidants can decrease the efficacy of certain chemotherapy drugs that rely on the generation of free radicals for their cytotoxic effects. Supplements with antioxidant properties are therefore not recommended during chemotherapy.		Cancer prevention,Cardiovascular disease,Weight loss	True	True
552	Hepatotoxicity (4) (23), urticaria (32), and reversible dermopathy (22) following use of kava.,Overdose of kava resulted in altered mental status and ataxia (33).	Hepatotoxicity,Urticaria,Overdose,Ataxia	Kava	"Benzodiazepines: Kava may enhance sedation when administered concurrently. Kava indirectly increases the affinity of GABA receptor binding sites in vitro (24).
Barbiturates: Theoretically, kava may have an additive effect on sedation and muscle-relaxant activity; however, this has only been demonstrated in animals.
Sedatives: Theoretically, kava may have an additive effect with any centrally-acting medication that can potentially cause sedation (5).
Cytochrome P450 substrates: Kava inhibits CYP2E1 (7), 1A2, 2C8, 2C9, 2C19, 2D6, and 3A4 (8) (9) (34), and can affect the intracellular concentration of drugs metabolized by these enzymes. Another study shows Kava extracts can induce CYP2E1 and CYP1A2 in an animal model (16).
Acetaminophen: Kava enhances the hepatic cell-cytotoxicity induced by acetaminophen in vitro (35)."	Kava preparation,Receptor,Activity,Animal,Acetaminophen,Cell	Insomnia,Restlessness,Stress	False	True
556	Severe illness and death   (9) (17),Lead poisoning from kombucha brewed in a lead-glazed ceramic pot (15),Hepatotoxicity and gastrointestinal toxicity including allergic reactions, jaundice and nausea, vomiting, head and neck pain (2) (11),Yeast infections (12),Myositis associated with pleural effusions, pericardial effusion with tamponade, and ’mechanic’s hands’ (22)	Illness,Death,Lead poisoning,Lead,Poisoning,Hepatotoxicity,Gastrointestinal toxicity,Jaundice,Nausea,Vomiting,Neck pain,Pain,Myositis,Pericardial effusion,Effusion	Kombucha	Kombucha tea is acidic. This may affect the bioavailability of drugs that depend on stomach pH levels for dissolution and absorption (12).		Acne,Atherosclerosis,Cancer treatment,Constipation,Diabetes,Fatigue,GI disorders,Headaches,Health maintenance,Hemorrhoids,HIV and AIDS,Hypertension,Immunostimulation,Osteoarthritis,Stress	False	False
560	"Withdrawal symptoms: Flu-like symptoms such as nausea, vomiting, chills, sweats, muscle spasms and pain, decreased appetite, or diarrhea; anxiety, irritability, depressed mood, hot flashes, sleeping difficulty; symptoms are more likely with heavier use (15) (16) (35).
Case reports
Addiction and severe opioid-like withdrawal syndrome: In a 37-year-old woman that was treated with clonidine and hydroxyzine (36).
Overdose and withdrawal: In a young man with negative toxicology screens (14).
Liver damage: From prolonged kratom use (37).
Cardiorespiratory arrest: In a 26-year-old man and considered a direct result of kratom ingestion in the absence of other identified causes (38).
Other fatalities/cardiotoxicities: Involving kratom and mitragynine (34) .
Deaths: Associated with the use of kratom-containing products or polydrug use in which kratom was suspected to have possibly contributed (3) (39) (40) (33) (41) (31). The multi-drug circumstances confound conclusive interpretation (42)."	Flu-like symptoms,Flu,Nausea,Vomiting,Chills,Muscle spasms,Spasms,Pain,Decreased appetite,Diarrhoea,Diarrhea,Anxiety,Irritability,Depressed mood,Hot flashes,Addiction,Withdrawal syndrome,Overdose,Liver damage	Kratom	Cytochrome P450 (CYP 450) substrates: Increased clearance of drugs metabolized by CYP450s (18) (19) . Kratom may also inhibit CYP2D6 (43), and induce CYP1A2 (44).,UGT (Uridine 5’-diphospho-glucuronosyltransferase) substrates: Increased clearance of drugs metabolized by UGT1A6 with kratom use (18).	Uridine	Anxiety,Insomnia,Pain relief,Stimulant	True	True
564	Hepatotoxicity was observed in rats exposed to high doses of Pueraria tuberosa extract over a long period (13).	Hepatotoxicity	Kudzu	Tamoxifen: Because it has estrogenic activity (11), kudzu may antagonize the effects of tamoxifen.,Antidiabetic drugs: Kudzu can have additive effects when used with antidiabetic drugs (14).,Cytochrome P450 2D6: Puerarin inhibited activity of CYP2D6 in vitro and can alter the metabolism of drugs that are substrates of this enzyme (15).,Cytochrome P450 1A2: Puerarin was shown to induce CYP1A2 in vitro and may affect the metabolism of some drugs that are substrates of this enzyme (15).,Methotrexate: When coadministered, a root decoction of kudzu reduces its elimination resulting in increased methotrexate levels in rats (17).	Tamoxifen,Activity,Enzyme,Methotrexate	Alcoholism,Common cold,Diabetes,Eye pain,Fever,Menopausal symptoms,Neck pain	False	True
568	Please see monograph on Green Tea.		L-Theanine	Midazolam: L-theanine may have additive effects (19).	Midazolam,theanine	Cancer prevention,Cancer treatment,Relaxation,Stroke	False	True
572	"Oral: Nausea, confusion (43); belching (12).
Topical: Allergic contact dermatitis (17) (24) and photosensitivity (61).
Although lavender appears to be well tolerated, it may have weak hormonal effects (14).
Case Reports
Prepubertal gynecomastia (topical): With repeated application of lavender and tea tree oils (14). At the same time, there was considerable discourse as to whether or not other co-ingredients could have been the cause of enlarged breasts (62) (63) (64) (65). In 3 additional boys who were chronically exposed to lavender, two used a cologne, one of which was confirmed to contain lavender. Symptoms improved after the exposure was discontinued (53)."	Nausea,Confusion,Belching,Allergic contact dermatitis,Contact dermatitis,Dermatitis,Photosensitivity,Gynaecomastia,Gynecomastia	Lavender	"Sedatives: Lavender may potentiate their sleep-inducing effects (3).
CNS depressants, anticonvulsants: Lavender may increase narcotic and sedative effects (66).
Cholesterol-lowering drugs (statins, nicotinic acid, fibric acid derivatives): Lavender may produce additional cholesterol-lowering effects (61)."	Cholesterol	Anxiety,Cancer symptom control,Cancer treatment,Depression,Insomnia,Migraine treatment,Pain,Spasms	True	True
576	"Oral: Dizziness, drowsiness, dry mouth, excessive urination, and increased appetite (5) (7).
In high doses, the essential oil of C. citratus can damage liver and stomach mucosae (18). Excessive ingestion of lemongrass tea may also have adverse effects on renal function  (44).
Topical: Contact dermatitis (48).
Case report
Delayed contact dermatitis (topical and oral): In a 52-year-old massage therapist who also practiced aromatherapy with essential oils including lemongrass. Her cutaneous symptoms also recurred following ingestion of lemongrass tea (49)."	Dizziness,Drowsiness,Dry mouth,Increased appetite,Damage liver,Contact dermatitis,Dermatitis,Massage,Aromatherapy	Lemongrass	Glutathione-S-transferase (GST) substrates: Citral, found in lemongrass essential oil, was shown to induce GST (9).,Cytochrome P450 substrates: Beta-myrcene in lemongrass can interfere with cytochrome P450 liver enzymes (19) (20), although lemongrass-prescription drug interactions have not been reported.	Glutathione,citral	Anticancer,Anti-inflammatory,Antimicrobial,Anxiolytic,Sedative,Vasorelaxation	True	True
580	"Side effects with lentinan infusions are mainly mild, with more severe reactions (anaphylactoid reaction, back pain, leg pain, depression, rigor, fever, chills, granulocytopenia and elevated liver enzymes) related to short infusion times (9).
Case Reports
Chest tightness: Following parenteral injection of lentinan (7).
Shiitake dermatitis (rash): Patterns of whiplike, linear, erythematous wheals within 1 to 2 days after consumption of raw or even cooked shiitake mushrooms caused by toxic reactions to lentinan, which typically resolve within days to weeks of their appearance (25) (26) (27)."	Anaphylactoid reaction,Back pain,Pain,Leg pain,Depression,Fever,Chills,Granulocytopenia,Elevated liver enzymes,Infusion,Chest tightness,Injection,Dermatitis,Rash,Wheals	Lentinan	Zidovudine (AZT): Lentinan may enhance activity when used along with AZT (8).	Zidovudine,Activity	Cancer prevention,Cancer treatment,High cholesterol,Immunostimulation,Infections	True	True
584	May lower blood glucose levels (8).,Rare: Excessive intake of dietary leucine may cause vitamin B3 and vitamin B6 deficiencies (9) (10).	Blood glucose,Glucose,Vitamin B3,Vitamin,Vitamin B6	Leucine	Insulin and other antidiabetic medications: Leucine can stimulate insulin secretion and may have additive hypoglycemic effects (8) (43).,Vitamin B3 and vitamin B6: Leucine can interfere with synthesis of these vitamins (9) (10).,Phosphodiesterase 5 (PDE5) inhibitors (sildenafil): Animal models indicate leucine may have synergistic effects (40).	Leucine,Vitamin,Vitamin B6,sildenafil,Animal	Muscle strength,Endurance,Diabetes,Sarcopenia	True	True
588	Hypertension (16) (45) (57) (59), hypertensive retinopathy and nephropathy (59), lethargy, muscle pain, sodium retention, hypokalemia (17) (18) (19) (20) (26)  (41) (59), adrenal crisis (21), ventricular fibrillation (22), cardiac arrythmias (23), carpal tunnel syndrome (24), glycyrrhizic acid poisoning (25), leukoderma (42), and thrombocytopenia (43)have been reported following ingestion of licorice or licorice containing products.	Hypertension,Hypertensive retinopathy,Hypertensive,Retinopathy,Nephropathy,Lethargy,Muscle pain,Pain,Sodium retention,Sodium,Hypokalemia,Hypokalaemia,Adrenal crisis,Ventricular fibrillation,Fibrillation,Carpal tunnel syndrome,Poisoning,Leukoderma,Thrombocytopenia	Licorice	"Cardiac glycosides: Licorice may potentiate toxicity (24).
Diuretics: Licorice may increase the risk of hypokalemia (17) (18).
Insulin: Licorice may increase insulin sensitivity (38) .
Anticoagulants: Licorice may increase the metabolism and clearance of warfarin (19).
MAO-inhibitors (MAOIs): Licorice may potentiate activity of MAOIs (37)
P-Glycoprotein (P-gp) substrates: Licorice inhibited P-gp, resulting in increased intracellular concentration of the chemotherapy agent daunorubicin, which is a substrate of P-gp (34).
Cytochrome P450 substrates: Glycyrrhizin, a major constituent of licorice, induces CYP3A (39) and CYP2D6 (44), and can affect the intracellular concentration of drugs metabolized by this enzyme. However, other constituents, like glabridin, glycycoumarin and licochalcone A from different species of licorice can inhibit these enzymes (40).
Cyclosporine: Licorice greatly reduced the oral bioavailability of cyclosporine by activating P-gp and CYP3A4 (46).
Cortisol acetate: Licorice increased cortisol availability in tissues in the hours following oral cortisone acetate administration (47).
Metformin: Pre-administration of licorice juice reduced the efficacy of metformin, in a rat model (58). The clinical relevance in humans has yet to be determined."	Licorice,Warfarin,Activity,Daunorubicin,Enzyme,glabridin,Cyclosporine,Acetate,cortisone acetate,Cortisone,Metformin	Bronchitis,Chest congestion,Constipation,GI disorders,Hepatitis,Inflammation,Menopausal symptoms,Microbial infection,Peptic ulcers,Primary adrenocortical insufficiency,Prostate cancer	False	True
592	None reported.		Ligustrum lucidum	 	 	Cancer treatment,Dizziness,Fever,Immunostimulation,Insomnia,Viral infections	False	False
596	"Common (metabolic diet): Nutrient deficiencies (calcium, vit B12, protein), anemia, and malabsorption may result from metabolic diets (1).
Reported (autogenous vaccine): Malaise, aching, slight fever, and tenderness at injection site (1).
Case Report (Coffee enemas): Death attributable to fluid and electrolyte imbalance causing pleural and pericardial effusions after use of coffee enemas, 4 per day for 8 weeks (2)."	Calcium,Protein,Anemia,Anaemia,Malabsorption,Malaise,Slight fever,Fever,Tenderness,Injection,Death,Fluid and electrolyte imbalance,Electrolyte imbalance	Livingston-Wheeler Therapy	 	 	Cancer treatment,HIV and AIDS	True	False
600	 	 	Lobelia	Nicotine-containing products: Lobelia may have additive effects, resulting in toxicity.	Nicotine	Asthma,Depression,Drug withdrawal symptoms,Induce vomiting,Inflammation,Smoking cessation	False	True
604	 	 	Lutein	 	 	Cancer prevention,Cataracts,Macular degeneration,Visual acuity	False	False
608	Allergic reactions have been reported following consumption of lycium berries in individuals with food allergies  (22).	Food	Lycium	"Warfarin: A few cases of elevated INR in patients on anticoagulant therapy were reported following consumption of concentrated Chinese herbal tea made from lycium (8) (18) (21).
Cytochrome P450 (CYP) 3A4 substrates: Lycium extract induces CYP3A4 by activating pregnane X receptor (PXR). This may increase the clearance of substrate drugs when used concomitantly (23)."	Warfarin,Receptor	Anemia,Burns,Cough,Inflammation,Pain,Sedation,Skin infections,Visual acuity	False	True
612	Lycopenaemia, characterized by a deep orange skin discoloration, has been reported following ingestion of large quantities of lycopene-rich foods (tomato-based products) (24) (25).	Skin discolouration,Skin discoloration	Lycopene	A possible interaction between lycopene and alcohol consumption was demonstrated in animal model, indicating that cytochrome P450 (CYP) 2E1 expression is induced by high doses of lycopene plus alcohol (13).	lycopene,Animal	Asthma,Cancer prevention,Cancer treatment,Cardiovascular disease,Macular degeneration	False	False
616	"Subjective reports of altered menstrual cycles, moodiness, cramps, gastritis, and insomnia (34).
Flu-like symptoms and vomiting report were reported in one clinical study. However, it is unclear if these were caused by maca (24).
Case report
Prolonged intermenstrual bleeding and markedly elevated total plasma testosterone: In a white female in her thirties from ingesting maca powder 1 tsp daily dissolved in milk to improve energy levels and libido (30)."	Cramps,Gastritis,Insomnia,Flu-like symptoms,Flu,Vomiting,Intermenstrual bleeding,Bleeding,Plasma testosterone,Testosterone	Maca	 	 	Infertility,Menopausal symptoms,Sexual performance,Strength and stamina,Cancer treatment	True	False
620	Hypermagnesemia due to ingestion of magnesium oxide by a 72-year-old woman with constipation and prolonged colonic retention caused prolonged hypotension and decreased perfusion, which led to hypoxic encephalopathy (44).,Laxatives-induced severe hypermagnesemia complicated with cardiopulmonary arrest in a 55-year-old woman with nephritic syndrome and anorexia nervosa (58).,Hypermagnesemia in the absence of pre-existing renal dysfunction in a 76-year-old woman with ileus (59).	Hypermagnesaemia,Hypermagnesemia,Magnesium,Constipation,Hypotension,Hypoxic encephalopathy,Hypoxic,Encephalopathy,Cardiopulmonary arrest,Nephritic syndrome,Anorexia nervosa,Anorexia,Ileus	Magnesium	"Aminoglycosides: Can cause renal magnesium wasting and subsequent deficiency (60).
Antibiotics: Magnesium or antacids may reduce the absorption of fluoroquinolones, tetracyclines, and nitrofurantoin. Magnesium-containing products, if needed, should be taken in accordance with the prescribing information of these antibacterials (52) (61) (62).
Anticoagulants: Magnesium or antacids can increase rate and extent of absorption (63).
Antidiabetics: Magnesium or antacids can increase rate and extent of absorption of sulphonylurea drugs (63).
Antifungals: Magnesium or antacids may reduce the rate and extent of itraconazole absorption (64).
Antimicrobials (pentamidine): Can cause renal magnesium wasting and subsequent deficiency (60).
Antivirals (ribavirin): High-dose antivirals may cause hypomagnesemia (37).
Bisphosphonates: Calcium/magnesium levels may be affected in patients receiving bisphosphonate therapy (65). In addition, antacids may interfere with absorption of bisphosphonates (52).
Calcineurin inhibitors: May cause hypomagnesemia (36).
Calcium channel blockers: Magnesium may potentiate blood pressure-lowering effects (66).
Cisplatin-based chemotherapy: May cause hypomagnesemia (39).
Dasatinib: May increase blood levels of magnesium (67).
Digoxin: Digoxin reduces tubular magnesium reabsorption. In patients with congestive heart failure effects may be cumulative with diuretics, diet, and poor intestinal absorption. Hypomagnesemia may increase adverse effects such as palpitations and nausea with digoxin. Magnesium and other electrolyte levels should be monitored in patients treated with cardiovascular drugs (68) (69).
Diuretics: Loop and thiazide diuretics are electrolyte-depleting, and can cause renal magnesium wasting and subsequent deficiency (60). Cumulative effects with other cardiovascular drugs may occur (see Digoxin entry).
Monoclonal antibodies (cetuximab, panitumumab): These cancer drugs target the epidermal-growth-factor receptor and hypomagnesemia is a frequent side effect (40). Electrolytes are monitored during and following treatment, and appropriate treatment instituted (70) (71).
Neuromuscular blockers: Magnesium supplements may potentiate the effects of neuromuscular blockers used in clinical settings (72) (73).
Nonsteroidal anti-inflammatory drugs: Antacids can increase rate and extent of absorption (63).
Proton pump inhibitors: Long-term use may cause hypomagnesemia (38).
Synthetic thyroid hormone: Two case reports of magnesium-containing antacids/laxatives reduced the effectiveness of levothyroxine (74)."	Magnesium,Nitrofurantoin,Itraconazole,Pentamidine,Ribavirin,Calcium,Cisplatin,dasatinib,Digoxin,cetuximab,panitumumab,Receptor,Hormone,levothyroxine	Asthma,Cardiovascular disease,Diabetes,Fatigue,Hot flashes,Hypertension,Leg cramps,Migraines,Osteoporosis,Premenstrual syndrome	False	True
624	"Pain, nausea, and dizziness; symptoms ceased upon removal of the magnets (15).
Case Report
Bullous pemphigoid associated with magnetic mattress use (4).
Regular use of low-intensity magnets appears to be safe. The World Health Organization reports that the available evidence indicates the absence of adverse effects on human health with exposure to magnetic fields up to 2 Tesla (20,000 G) (2)."	Pain,Nausea,Dizziness,Bullous pemphigoid,Pemphigoid,Organization,Human	Magnet Therapy	 	 	Antiaging,Arthritis,Cancer treatment,Circulatory disorders,Diabetic neuropathy,Fatigue,Fibromyalgia,HIV and AIDS,Immunostimulation,Infections,Inflammation,Insomnia,Multiple sclerosis,Muscle pain,Nausea and vomiting,Neuralgia,Pain,Peripheral neuropathy,Rheumatoid arthritis,Strength and stamina,Stress,Wound healing	False	False
628	"Case Reports
Contact dermatitis: In 4 patients with the application of magnolia extract-containing cosmetics (44) (45)."	Contact dermatitis,Dermatitis	Magnolia officinalis	 	 	Antibacterial,Anxiety,Cancer prevention,Depression,Diabetes,Inflammation	True	False
632	Asymptomatic eosinophilia (25).	Eosinophilia	Maitake	"Warfarin: Maitake may interact with warfarin resulting in an elevated international normalized ratio (INR) (21).
Hypoglycemic medications: Maitake may increase their effects  (9)."	Warfarin	Cancer prevention,Diabetes,High cholesterol,Hypertension,Immunostimulation,Weight loss	False	True
636	Case Report: Severe lactic acidosis was reported following consumption of mangosteen juice daily for 12 months (15).	Lactic acidosis,Acidosis	Mangosteen	"Chemotherapy: Mangosteen products have antioxidant effects (7) (13) (37) (41) and may interfere with the action of anthracyclines, platinum compounds, and alkylating agents.
Calcineurin inhibitors (cyclosporine, tacrolimus): Isogarcinol isolated from Garcinia mangostana inhibits calcineurin. It may have additive immunosuppressant effects if used with related drugs.
Cytochrome P450 substrates: Mangosteen inhibits CYP1A1, CYP1A2, CYP2E1 and CYP3A11 and can affect the intracellular concentration of drugs metabolized by these enzymes (25)."	Platinum,Cyclosporine,Tacrolimus	Bacterial infections,Diarrhea,Fungal infections,Inflammation,Skin infections,Wound healing	True	True
640	May increase blood glucose levels.,In a rodent model, a 50% concentration of MH applied to the ear following myringotomy caused severe inflammation leading to facial paralysis, vestibulotoxicity, and hearing loss (23).	Blood glucose,Glucose,Myringotomy,Inflammation,Facial paralysis,Paralysis,Hearing loss	Manuka Honey	Chemotherapy: Theoretically, MH may interfere with certain chemotherapeutic agents due to its antioxidant effects.		Wound healing,Fungal and bacterial infections,Diabetes,Gastrointestinal tract problems,Cancer prevention/treatment,Oral health	False	True
644	 	 	Maroon Bush	 	 	Boils,Sores,Ulcers,Stomach ache,Diuretic,Colds,Cancer	False	False
648	"Sleep disruption, arrhythmias, increased heart rate, stomach upset, and anxiety in vulnerable subjects (28) (29) (30).
Case Reports
Hepatic veno-occlusive disease/liver failure: In an adult woman, linked to the chronic long-term use of mate that contained small amounts of pyrrolizidine alkaloids (32).
Neonatal withdrawal syndrome: Jitteriness, irritability, high-pitched cry, limb hypertonia, and brisk tendon reflexes consistent with neonatal withdrawal syndrome reported in a premature newborn whose mother drank mate during pregnancy. Caffeine and theobromine were detected in high concentrations across various maternal and neonatal samples including breast milk and neonatal urine and hair. Symptoms progressively disappeared by 84 hours of age. However, intermittent irritability was still present at 24 days when the newborn was discharged. Considerable, progressive, and constant reduction of mate consumption to a maximum of 2 cups per day for the duration of breastfeeding was advised (31)."	Heart rate,Stomach upset,Anxiety,Liver failure,Withdrawal syndrome,Jitteriness,Irritability,Hypertonia,Newborn,Pregnancy,Caffeine	Mate	"Chemotherapy: Due to its antioxidant activity, mate may interfere with some chemotherapy drugs (1).
Stimulant, cardiac, hypertension, or antidepressant drugs: Due to its caffeine content, mate may interact with these drugs, although specific interactions have not been studied."	Activity,Caffeine	Appetite suppression,Bone health,Central nervous system stimulation,Depression,Fatigue,Headaches,Promote urination,Weight loss	True	True
652	 	 	Mediterranean Diet	 	 	Heart disease,Cancer prevention,Weight management,Diabetes management,Cholesterol management	False	False
656	Drowsiness, alterations in sleep patterns, altered mental status, disorientation, tachycardia, flushing, pruritus, abdominal cramps, headaches, trouble sleeping, bad dreams, hypothermia (1) (2) (14) (15) (36)	Drowsiness,Disorientation,Tachycardia,Flushing,Pruritus,Abdominal cramps,Cramps,Headaches,Bad dreams,Hypothermia	Melatonin	"Nifedipine: Concomitant administration of melatonin and nifedipine has resulted in elevations in blood pressure and heart rate (16).
CYP1A2 substrates: Melatonin inhibits CYP1A2 and may increase the bioavailability of substrate drugs, like fluvoxamine (23) (26) (34).
Anticoagulants: Oral melatonin intake is associated with lower plasma levels of factor VIII and fibrinogen (25). Therefore, this may increase the risk of adverse effects when used with anticoagulant medications.
Rhubarb: A study using human primary hepatocytes showed that concomitant use can cause metabolic disorder of melatonin (55)."	Nifedipine,Melatonin,Fluvoxamine,Factor VIII,Fibrinogen,Human	Antiaging,Cancer treatment,Chemotherapy side effects,Depression,Drug withdrawal symptoms,Insomnia,Jet lag,Migraine prophylaxis,Seasonal affective disorder (SAD)	False	True
660	Electrolyte imbalance, resulting in serious infections (eg, Campylobacter sepsis and amebiasis), dehydration, colitis, constipation, and death.,Perforation or rupture of the colon from hard insertion devices and transfer of pathogenic microorganisms by contaminated devices (4).,Multiple seizures and hypokalemia leading to cardiorespiratory arrest, coma, and death after excessive use of coffee enemas (1–4 per hour) for a number of days (2).,Death attributable to fluid and electrolyte imbalance causing pleural and pericardial effusions after use of coffee enemas, 4 per day for 8 weeks (2).,Serious rectal burns in 2 patients following administration of coffee enemas. Hematochezia, rectal pain, and pain with defecation resolved after stopping the enemas (7) (8).,Proctocolitis in a 60-year-old woman after self-administering coffee enema for chronic constipation. Symptoms including hematochezia, tenesmus, and spastic anal pain with lower abdominal pain improved following treatment and cessation of enema (9).,Rectal perforation in a 27-year-old woman due to benign stricture caused by rectal burns associated with hot coffee enemas (10).	Electrolyte imbalance,Campylobacter sepsis,Sepsis,Amoebiasis,Amebiasis,Dehydration,Colitis,Constipation,Death,Perforation,Seizures,Hypokalemia,Hypokalaemia,Coma,Fluid and electrolyte imbalance,Hematochezia,Rectal pain,Pain,Proctocolitis,Anal pain,Lower abdominal pain,Abdominal pain,Rectal perforation	Metabolic Therapies	 	 	Cancer prevention,Cancer treatment,Detoxification	False	False
664	None reported.		MGN-3	None reported.		Cancer treatment,Chemotherapy side effects,HIV and AIDS,Immunostimulation	False	False
668	A 52-year old man with colon and liver cancer experienced kidney and heart failure leading to death after intravenous infusion of MICOM found to be contaminated with bacteria. A physician testified that high levels of potassium in MICOM caused the man’s death.,A second patient with brain cancer experienced infection, pneumonia, and kidney failure after infusion with the same contaminated product (1).	Cancer,Heart failure,Death,Infusion,Potassium,Infection,Pneumonia,Kidney failure	MICOM	 	 	Cancer prevention/treatment,Circulatory disorders,Detoxification,Withdrawal symptoms,HIV and AIDS	False	False
672	"High doses of silibinin can elevate bilirubin and liver enzymes (25).
Case reports
Intermittent GI symptoms: A patient experienced intermittent episodes of sweating, nausea, vomiting, diarrhea, abdominal pain, weakness, and collapse that resolved after discontinuation of milk thistle supplementation (5).
Severe epistaxis: In a 25-year-old man, possibly due to self-medication with aspirin, garlic, and milk thistle. His symptoms improved following treatment  (22)."	Bilirubin,Sweating,Nausea,Vomiting,Diarrhoea,Diarrhea,Abdominal pain,Pain,Weakness,Epistaxis,Self-medication	Milk Thistle	Cytochrome P450 3A4 substrates: Milk thistle inhibits cytochrome P450 3A4 (4) and can affect the intracellular concentration of drugs metabolized by this enzyme. However, conflicting data indicate no such effects (13) (14) (38). In another study, consumption of milk thistle did not reduce levels of indinavir, an AIDS drug (15).,UGT (Uridine 5’-diphospho-glucuronosyltransferase) substrates: Milk thistle modulates UGT enzymes in vitro and can increase the side effects of drugs metabolized by them (26).,Sirolimus: Milk thistle may decrease clearance. Monitor therapy especially when combined with nivolumab, which may interfere with the potential to help prevent rejection of donor kidney in transplant patients (44) (45).	Enzyme,Indinavir,Uridine,Sirolimus,nivolumab	Cancer prevention,Cirrhosis,Drug-induced hepatotoxicity,Hepatitis,Liver disease	True	True
676	"Common: Injection site reactions, fever (39) (40) (52), flu-like symptoms (41), leukocytosis (16) (20) (22).
Uncommon: Diarrhea, nausea (40), vomiting, headache, increased blood glucose, decreased blood pressure, syncope, generalized pruritus, urticaria (22); bradycardia , organ toxicity (33); fatigue, pain (39) (40).
Long-term use: Reduced T-cell function in cancer patients (21).
Most infusion reactions were mild to moderate and dose-related (22) (41).
Case reports
Subcutaneous inflammation mimicking metastatic malignancy: In a 61-year-old breast cancer patient 2 months post-surgery, induced by mistletoe injections self-administered over 12 months (35).
Fatalities: Rare, and due to excessive ingestion of mistletoe teas (33). 
Severe hypertension: Possibly related to intratumoral injection in 1 patient (41).
Hepatotoxicity: Significantly increased AST and ALT levels in a 55-year-old man with no significant medical history and a 10-day history of mild fever and brownish urine. Liver injury was related to the use of mistletoe and kudzu extracts. Values gradually returned to normal after 8 days of hospitalization (42)."	Injection site reactions,Injection,Fever,Flu-like symptoms,Flu,Leukocytosis,Diarrhoea,Diarrhea,Nausea,Vomiting,Headache,Blood glucose,Glucose,Blood pressure,Syncope,Generalized pruritus,Pruritus,Urticaria,Bradycardia,Fatigue,Pain,Cell Function,Cell,Cancer,Infusion,Inflammation,Breast cancer,Surgery,Hypertension,Hepatotoxicity,Liver injury,Injury,Hospitalisation,Hospitalization	Mistletoe (European)	Cytochrome P450 3A4 substrates: Mistletoe inhibits CYP3A4 and may affect intracellular concentrations of drugs metabolized by this enzyme. However, the effect is minimal when used in clinically relevant concentrations (10) (23) (50).	Enzyme	Cancer symptom control,Cancer treatment,Hepatitis,HIV and AIDS,Hypertension,Immunostimulation	True	True
680	Alkaloids in MO have hypotensive and bradycardiac effects (31).,MO bark can cause uterine contractions (27).,Phenylacetonitrile isolated from roasted MO seeds has mutagenic activity (32) (33).,MO extracts have antifertility properties (28).,Animal models suggest that chronic administration of MO leaves can increase risk of hepatic and renal damage (40).	Hypotensive,Activity,Animal	Moringa oleifera	Cytochrome P450 substrates, including CYP3A4: MO inhibits CYP-450 / CYP3A4. It can increase the bioavailability of rifampin (34), and may interact with other drugs metabolized by CYP3A4 (35).,Sitagliptin: Chronic co-administration with MO decreases the antihyperglycemic effect of sitagliptin (47).	Rifampin,sitagliptin	Antibacterial,Antifungal,Anti-inflammatory,Diabetes,Ulcers,Anticancer	False	True
684	High doses may affect heart rate (5).,Topical preparations containing myrrh have been reported to cause contact dermatitis (6).	Heart rate,Contact dermatitis,Dermatitis	Myrrh	Warfarin: A published case report describes the antagonism of the anticoagulant effects of warfarin after a patient began concomitantly taking C. molmol (10).	Warfarin	Asthma,Cough,GI disorders,Indigestion,Inflammation,Sexually transmitted disease	False	True
688	"Common (Oral): Gastrointestinal disturbance, diarrhea, nausea, vomiting, fatigue, conjunctival irritation, skin rash (26) (28)
Other: Hypotension, anaphylaxis, asthma attacks, headache (29)
Case reports
Photosensitivity not attributable to location, season, or concomitant medication: Occurred among pulmonary fibrosis patients more frequently with acetylcysteine than placebo in combination with pirfenidone (39)."	Gastrointestinal disturbance,Diarrhoea,Diarrhea,Nausea,Vomiting,Fatigue,Conjunctival irritation,Skin rash,Rash,Hypotension,Anaphylaxis,Asthma,Headache,Photosensitivity,Pulmonary fibrosis,Fibrosis	N-Acetylcysteine	"Nitroglycerin: Severe headache due to added vasodilation effect (34).
Antidepressants: May increase the effects of imipramine and escitalopram (35)."	Nitroglycerin,Imipramine,Escitalopram	Prevention of drug-induced hepatotoxicity,Cirrhosis,Bronchitis,Chronic obstructive pulmonary disorders,Cystic fibrosis,HIV and AIDS,Lou Gehrig’s disease,Cancer prevention,Prevention of chemo- and radiotherapy side effects	True	True
